zin/het-is	Het is
tijd/11-36	Zes minuten over half twaalf.
tijd/11-37	Zeven minuten over half twaalf.
tijd/11-38	Acht minuten over half twaalf.
tijd/11-39	Negen minuten over half twaalf.
tijd/11-40	Tien over half twaalf.
tijd/11-41	Elf minuten over half twaalf.
tijd/11-42	Twaalf minuten over half twaalf.
tijd/11-43	Dertien minuten over half twaalf.
tijd/11-44	Veertien minuten over half twaalf.
tijd/11-45	Kwart voor twaalf.
tijd/11-46	Veertien minuten voor twaalf.
tijd/11-47	Dertien minuten voor twaalf.
tijd/11-48	Twaalf minuten voor twaalf.
tijd/11-49	Elf minuten voor twaalf.
tijd/11-50	Tien voor twaalf.
tijd/11-51	Negen minuten voor twaalf.
tijd/11-52	Acht minuten voor twaalf.
tijd/11-53	Zeven minuten voor twaalf.
tijd/11-54	Zes minuten voor twaalf.
tijd/11-55	Vijf voor twaalf.
tijd/11-56	Vier minuten voor twaalf.
tijd/11-57	Drie minuten voor twaalf.
tijd/11-58	Twee minuten voor twaalf.
tijd/11-59	Één minuut voor twaalf.
